,latitude,longitude,azimuth,elevation
392,14.02676317,69.32523456,203.32,13.53
393,13.91017796,69.29765944,203.26,13.34
394,13.79359060,69.27010359,203.21,13.14
395,13.67700110,69.24256683,203.16,12.95
396,13.56040950,69.21504898,203.11,12.76
397,13.44381347,69.18754930,203.06,12.57
398,13.32721772,69.16006870,203.01,12.38
399,13.26891908,69.14633530,202.99,12.28
400,13.15232029,69.11888217,202.94,12.10
401,13.03571715,69.09144656,202.89,11.91
402,12.91911438,69.06402941,202.85,11.73
403,12.80250966,69.03662997,202.80,11.54
404,12.74420658,69.02293683,202.78,11.45
405,12.62759663,68.99556308,202.73,11.27
406,12.51098713,68.96820714,202.69,11.09
407,12.39437576,68.94086829,202.64,10.92
408,12.27776021,68.91354580,202.60,10.74
409,12.16114517,68.88624059,202.56,10.56
410,12.10283698,68.87259420,202.54,10.48
411,11.98621925,68.84531375,202.49,10.30
412,11.86959742,68.81804904,202.45,10.13
413,11.75297619,68.79080099,202.41,9.96
414,11.69466493,68.77718296,202.39,9.87
415,11.57804113,68.74995875,202.35,9.70
416,11.46141565,68.72275021,202.31,9.53
417,11.34478617,68.69555663,202.27,9.37
418,11.22815740,68.66837893,202.23,9.20
419,11.11152702,68.64121638,202.19,9.03
420,11.05321123,68.62764073,202.17,8.95
421,10.93657613,68.60050004,202.14,8.79
422,10.81994182,68.57337463,202.10,8.63
423,10.70330598,68.54626376,202.06,8.46
424,10.58666863,68.51916728,202.03,8.30
425,10.52834705,68.50562383,202.01,8.22
426,10.41170749,68.47854861,201.97,8.06
427,10.29506648,68.45148734,201.94,7.91
428,10.17842404,68.42443986,201.90,7.75
429,10.06178020,68.39740600,201.87,7.59
430,10.00345542,68.38389358,201.85,7.51
431,9.88680951,68.35687984,201.81,7.36
432,9.77016227,68.32987930,201.78,7.21
433,9.65351370,68.30289180,201.75,7.05
434,9.53686148,68.27591662,201.71,6.90
435,9.47853607,68.26243407,201.70,6.82
436,9.36188430,68.23547843,201.66,6.67
437,9.24523128,68.20853524,201.63,6.52
438,9.12857471,68.18160379,201.60,6.37
439,9.01191928,68.15468501,201.57,6.23
440,8.89526268,68.12777820,201.54,6.08
441,8.83693394,68.11432922,201.52,6.00
442,8.72027328,68.08743950,201.49,5.86
443,8.60361385,68.06056187,201.46,5.71
444,8.48695332,68.03369563,201.43,5.57
445,8.37028938,68.00684008,201.40,5.42
446,8.25362674,67.97999613,201.37,5.28
447,8.13696307,67.95316308,201.34,5.14
448,8.07863086,67.93975060,201.33,5.07
449,7.96196336,67.91293307,201.30,4.93
450,7.84529723,67.88612658,201.27,4.78
451,7.72863016,67.85933043,201.24,4.64
452,7.61196217,67.83254446,201.21,4.51
453,7.49529328,67.80576851,201.18,4.37
454,7.43695615,67.79238371,201.17,4.30
455,7.32028596,67.76562249,201.14,4.16
456,7.20361491,67.73887090,201.12,4.02
457,7.08694305,67.71212877,201.09,3.89
458,6.97026805,67.68539542,201.06,3.75
459,6.85359462,67.65867175,201.04,3.62
460,6.73692044,67.63195707,201.01,3.48
